iter	Passed	Remaining
0	147	147136
1	148	73867
2	148	49428
3	149	37191
4	150	29892
5	150	24996
6	151	21495
7	152	18863
8	152	16833
9	153	15231
10	154	13897
11	155	12771
12	155	11824
13	156	11023
14	157	10320
15	157	9710
16	158	9171
17	159	8691
18	160	8268
19	160	7874
20	161	7518
21	162	7203
22	162	6913
23	163	6648
24	164	6397
25	164	6166
26	165	5954
27	165	5756
28	166	5576
29	167	5407
30	168	5259
31	168	5106
32	169	4969
33	170	4849
34	171	4723
35	172	4606
36	172	4492
37	173	4387
38	173	4285
39	174	4188
40	175	4097
41	175	4012
42	176	3928
43	177	3849
44	177	3772
45	178	3702
46	179	3631
47	179	3563
48	180	3499
49	180	3437
50	181	3383
51	182	3330
52	183	3275
53	184	3226
54	184	3176
55	185	3131
56	186	3084
57	187	3039
58	187	2996
59	188	2952
60	189	2910
61	189	2869
62	190	2830
63	190	2792
64	191	2756
65	192	2721
66	192	2685
67	193	2650
68	194	2619
69	194	2587
70	195	2557
71	196	2530
72	197	2502
73	198	2477
74	198	2450
75	199	2426
76	200	2406
77	201	2381
78	202	2356
79	202	2332
80	203	2308
81	204	2285
82	204	2258
83	205	2235
84	205	2213
85	206	2191
86	206	2171
87	207	2151
88	208	2131
89	208	2112
90	209	2092
91	210	2074
92	210	2055
93	211	2039
94	212	2023
95	213	2006
96	213	1989
97	214	1973
98	214	1956
99	215	1940
100	216	1924
101	216	1908
102	217	1893
103	218	1878
104	218	1863
105	219	1848
106	219	1834
107	220	1821
108	221	1806
109	221	1793
110	222	1780
111	223	1768
112	223	1754
113	224	1741
114	224	1729
115	225	1717
116	226	1706
117	226	1695
118	227	1686
119	228	1676
120	229	1670
121	230	1659
122	231	1648
123	231	1637
124	232	1627
125	233	1617
126	233	1606
127	234	1596
128	235	1586
129	235	1576
130	236	1566
131	236	1556
132	237	1546
133	237	1537
134	238	1528
135	239	1520
136	240	1511
137	240	1503
138	241	1494
139	242	1489
140	243	1480
141	243	1470
142	244	1462
143	244	1455
144	245	1447
145	246	1439
146	246	1431
147	247	1423
148	247	1415
149	248	1408
150	249	1401
151	249	1394
152	250	1386
153	251	1379
154	251	1372
155	252	1365
156	253	1358
157	253	1351
158	254	1345
159	254	1337
160	255	1330
161	255	1323
162	256	1316
163	257	1312
164	258	1306
165	258	1299
166	259	1293
167	259	1286
168	260	1280
169	261	1274
170	261	1268
171	262	1262
172	262	1256
173	263	1250
174	264	1245
175	264	1239
176	265	1233
177	265	1228
178	266	1222
179	267	1217
180	267	1211
181	268	1206
182	269	1201
183	269	1196
184	270	1190
185	270	1185
186	271	1180
187	272	1176
188	272	1171
189	273	1166
190	274	1161
191	274	1156
192	275	1151
193	276	1146
194	276	1142
195	277	1137
196	277	1132
197	278	1128
198	279	1123
199	279	1118
200	280	1113
201	280	1109
202	281	1105
203	282	1100
204	282	1096
205	283	1092
206	284	1088
207	284	1083
208	285	1079
209	285	1075
210	286	1071
211	287	1068
212	287	1063
213	288	1059
214	289	1055
215	289	1051
216	290	1048
217	291	1044
218	291	1040
219	292	1036
220	292	1032
221	293	1028
222	294	1024
223	294	1020
224	295	1017
225	295	1013
226	296	1009
227	297	1006
228	297	1002
229	298	999
230	299	996
231	299	992
232	300	988
233	301	985
234	301	982
235	302	979
236	303	976
237	303	972
238	304	969
239	305	965
240	305	962
241	306	959
242	306	955
243	307	952
244	308	949
245	308	946
246	309	942
247	309	939
248	310	936
249	311	933
250	311	930
251	312	927
252	312	923
253	313	920
254	314	917
255	314	914
256	315	911
257	316	908
258	316	905
259	317	903
260	318	901
261	318	898
262	319	895
263	320	892
264	320	889
265	321	886
266	322	884
267	322	881
268	323	878
269	323	875
270	324	873
271	325	870
272	325	867
273	326	864
274	327	862
275	327	859
276	328	856
277	329	854
278	329	851
279	330	849
280	330	846
281	331	844
282	332	842
283	333	840
284	333	837
285	334	835
286	335	832
287	335	829
288	336	827
289	336	824
290	337	822
291	338	820
292	338	817
293	339	815
294	340	812
295	340	810
296	341	807
297	341	805
298	342	803
299	343	800
300	343	798
301	344	796
302	345	793
303	345	791
304	346	788
305	346	786
306	347	785
307	348	782
308	349	780
309	349	778
310	350	775
311	350	773
312	351	771
313	352	769
314	352	767
315	353	765
316	354	762
317	354	760
318	355	758
319	355	756
320	356	754
321	357	752
322	357	749
323	358	747
324	358	745
325	359	743
326	360	741
327	360	738
328	361	736
329	361	734
330	362	733
331	363	731
332	364	729
333	364	727
334	365	725
335	365	723
336	366	721
337	367	719
338	367	716
339	368	714
340	368	712
341	369	711
342	370	709
343	370	707
344	371	705
345	372	703
346	372	701
347	373	699
348	374	697
349	374	695
350	375	693
351	375	691
352	376	690
353	377	688
354	378	686
355	378	685
356	379	683
357	380	681
358	380	679
359	381	678
360	382	676
361	382	674
362	383	672
363	384	671
364	384	669
365	385	668
366	386	666
367	387	664
368	387	662
369	388	661
370	388	659
371	389	657
372	390	655
373	390	654
374	391	652
375	392	650
376	392	649
377	393	647
378	394	645
379	394	643
380	395	642
381	396	640
382	396	638
383	397	637
384	397	635
385	398	633
386	399	632
387	399	630
388	400	628
389	400	626
390	401	625
391	401	623
392	402	621
393	403	620
394	403	618
395	404	616
396	404	615
397	405	613
398	406	611
399	406	610
400	407	609
401	408	607
402	408	605
403	409	604
404	410	602
405	410	600
406	411	599
407	411	597
408	412	596
409	413	594
410	413	593
411	414	591
412	415	590
413	415	588
414	416	587
415	417	585
416	417	583
417	418	582
418	418	580
419	419	579
420	420	577
421	420	576
422	421	574
423	421	573
424	422	572
425	423	570
426	424	569
427	424	567
428	425	566
429	425	564
430	426	563
431	427	561
432	427	560
433	428	558
434	429	557
435	429	555
436	430	554
437	430	552
438	431	551
439	432	549
440	432	548
441	433	546
442	433	545
443	434	544
444	435	542
445	435	541
446	436	539
447	436	538
448	437	537
449	438	535
450	439	534
451	439	532
452	440	531
453	440	530
454	441	528
455	442	527
456	442	525
457	443	524
458	443	523
459	444	521
460	444	520
